field,before,after,classification
System Health,HEALTHY_WITH_KNOWN_LIMITATIONS,OPERATIONAL_WITH_LIMITATIONS,STATUS_FIX
overall_health,HEALTHY_WITH_KNOWN_LIMITATIONS,OPERATIONAL_WITH_LIMITATIONS,STATUS_FIX
Runtime Stability,DEGRADED,STABLE_WITH_WARNINGS,RESOURCE_NORMALIZATION
Active Alerts,0,0,STATUS_FIX
paper controller,MIGRATED_TO_TIMEFRAME_TRADERS,MIGRATED/NOT_REQUIRED,NON_BLOCKING_RECLASSIFICATION
phantom modules,PHANTOM Running badge risk,NOT_IN_CANONICAL_RUNTIME,NON_BLOCKING_RECLASSIFICATION
D1,TIMEFRAME_NOT_LIVE,NOT_LIVE/EXPECTED,KNOWN_LIMITATION
auction synthesis,ACTIVE_BROKEN warning,KNOWN_LIMITATION NON_REQUIRED INFO,KNOWN_LIMITATION
probabilistic parquet,LIVE,CURRENT,STATUS_FIX
Research readiness,ATTENTION,RESEARCH_INCOMPLETE,NON_BLOCKING_RECLASSIFICATION
Toxic Box,LEGACY_ONLY,HISTORICAL_ONLY,HISTORICAL_RECLASSIFICATION
Historical failures active,0,0,HISTORICAL_RECLASSIFICATION
resources cpu,93.2,53.1,RESOURCE_NORMALIZATION
resources memory status,DEGRADED,WARNING,RESOURCE_NORMALIZATION
manager,HEALTHY,HEALTHY,STATUS_FIX
traders,4,4,STATUS_FIX
layout,research high,live->manager->traders->mtf->context->alerts->resources->limitations->research->toxic->historical->legacy,LAYOUT_CHANGE
